id,anganwadi_centers,anganwadi_workers,anganwadi_helpers,aadhar_verified_beneficiaries,eligible_beneficiaries
25762,1075,787,610,92235,92337
25763,1788,1455,1291,134234,134366
25764,1504,1181,1111,142003,116163
25765,1290,1105,675,46703,46823
25766,2061,1868,1044,74642,57991
25767,788,715,583,39165,39208
25768,970,774,572,98257,98330
25769,1065,994,710,75316,75404
25770,695,667,508,26239,26263
25771,644,603,497,28725,22002
25772,713,647,436,46667,46751
25773,1193,1089,749,65228,65312
25774,777,721,550,46719,46723
25775,1840,1711,1205,72404,72422
25776,1006,869,559,51408,40912
25777,1437,1327,971,39958,39971
25778,1163,1109,843,52261,52343
25779,974,876,594,36464,36507
25780,1076,1023,735,54935,54995
25781,793,726,553,103588,103593
25782,640,544,322,17672,17695
25783,1132,990,598,42468,42515
25784,2093,1951,1392,79913,79961
25785,704,679,514,43288,43338
25786,931,826,548,51095,51205
25787,1501,1429,921,115231,115364
25788,706,654,489,35843,35871
25789,586,528,406,36508,36516
25790,1602,1505,1103,122357,122467
25791,1504,1426,1101,98820,98903
25792,1150,1073,880,70470,70473
25793,1209,1137,920,50545,50588
25794,1129,1058,759,52493,52620
25795,589,567,387,22366,22397
25796,919,837,617,46557,46621
25797,901,842,636,45702,45746
25923,3314,3148,1689,94804,93122
25924,1908,1872,1656,81942,81952
25925,2302,2278,2022,146341,146407
25926,2275,2183,1741,92181,92205
25927,1888,1843,1837,62281,62298
25928,2420,2349,1739,93795,93804
25929,1726,1667,1586,72517,72532
25930,1556,1483,1401,84430,84440
25931,2226,2194,1862,100421,100423
25932,1480,1443,1407,98550,98577
25933,1986,1959,1876,94712,94751
25934,1707,1621,1498,75434,75437
25935,1886,1867,1786,173350,173401
25936,1663,1635,1588,116844,116902
25937,1475,1228,1288,97424,97437
25938,2031,1954,1897,102999,103054
25939,2075,2027,1376,55802,49901
25940,2903,2818,2550,109253,109281
25941,2934,2851,2508,110241,110288
25942,2824,2759,2188,91393,91440
25943,3385,3253,2665,100057,100089
25944,2492,2459,2049,102687,102726
25945,776,765,682,94249,94259
25946,2499,2445,2101,72768,72775
25947,1626,1607,1507,84040,84056
25948,2389,2313,2116,129178,122145
26206,2444,2330,2075,155780,155963
26207,1358,1305,1163,122029,122089
26208,5656,5450,4758,404419,404427
26209,1277,1167,952,55908,55910
26210,1586,1448,1180,51261,51266
26211,2877,2463,2041,217433,217474
26212,2051,1822,1687,133334,133630
26213,1444,1337,1190,45665,45666
26214,2014,1971,1794,71419,71433
26215,1858,1769,1532,54534,54534
26216,2428,2348,2146,128709,128715
26217,2131,2060,1998,118102,118102
26218,1771,1695,1543,120366,120374
26219,1622,1570,1357,126540,126553
26220,1248,1195,1162,88644,88645
26221,2691,2419,1839,76599,76600
26222,1991,1933,1834,129217,129218
26223,3420,3216,2622,229159,229289
26224,888,806,708,25170,25170
26225,2180,2048,1712,94199,94208
26226,1960,1846,1706,147349,147383
26227,2558,2448,2002,78484,78486
