id,anganwadi_centers,anganwadi_workers,anganwadi_helpers,aadhar_verified_beneficiaries,eligible_beneficiaries
18022,1850,1654,1206,179414,179764
18023,1261,1008,883,95824,95824
18024,969,812,613,88515,89488
18025,1512,1321,1134,131782,131791
18026,2127,1702,1377,169461,169769
18027,1075,796,630,92894,93440
18028,1781,1501,1323,140323,140782
18029,1504,1248,1154,151014,122816
18030,1256,1156,848,53171,55758
18031,2060,1920,1188,69941,62945
18032,781,739,628,42941,44291
18033,970,798,633,123143,124858
18034,1065,1012,788,75669,76559
18035,695,671,553,29029,29678
18036,644,600,511,27756,24571
18037,713,650,474,51136,52422
18038,1193,1101,784,75396,76318
18039,777,704,578,54071,54161
18040,1840,1718,1238,80561,80899
18041,973,893,588,41945,41196
18042,1435,1338,991,44155,44434
18043,1185,1136,924,60224,61395
18044,969,890,619,42798,44370
18045,1076,1034,784,59236,60241
18046,793,740,641,120761,121468
18047,640,559,319,18809,19849
18048,1131,991,615,48241,49136
18049,2093,1948,1450,85337,86784
18050,704,683,547,49511,50085
18051,926,830,585,57857,60734
18052,1500,1431,952,131140,132554
18053,706,676,542,39766,40885
18054,587,546,418,40744,40949
18055,1600,1524,1139,146492,152442
18056,1504,1433,1120,106081,106801
18057,1150,1085,896,74485,74497
18058,1209,1133,956,55642,56183
18059,1107,1068,783,61449,63661
18060,589,575,396,25616,26455
18061,919,860,641,51781,53057
18062,901,841,649,48573,49174
18188,3313,3095,1713,113244,102765
18189,1908,1853,1636,96172,96179
18190,2302,2269,2022,170585,171768
18191,2275,2188,1742,114099,114191
18192,1888,1840,1839,75129,75426
18193,2420,2348,1737,111759,112033
18194,1726,1668,1586,88811,89010
18195,1556,1480,1392,99520,100025
18196,2226,2195,1863,120369,120390
18197,1480,1438,1393,112720,113289
18198,1986,1959,1874,118037,118476
18199,1707,1620,1500,88752,88890
18200,1886,1860,1783,203792,204473
18201,1663,1635,1588,129595,130575
18202,1475,1231,1290,115693,115747
18203,2031,1953,1889,132460,133751
18204,2075,2017,1375,73802,60737
18205,2903,2817,2546,139796,139965
18206,2934,2853,2531,131961,133247
18207,2824,2756,2190,109752,111210
18208,3385,3252,2666,119569,119777
18209,2492,2462,2042,130519,131320
18210,776,764,682,111826,111899
18211,2499,2444,2094,87962,87989
18212,1626,1604,1508,97756,98055
18213,2389,2312,2132,168991,149238
18469,2444,2238,1884,175947,178312
18470,1358,1278,1089,144407,145225
18471,5656,5463,4818,494829,496624
18472,1277,1162,948,59926,59931
18473,1586,1443,1182,62432,62659
18474,2877,2473,2076,193104,194889
18475,2051,1743,1671,147732,149897
18476,1442,1355,1182,53547,53570
18477,2014,1943,1761,82557,82587
18478,1858,1783,1497,60873,60889
18479,2428,2321,2136,130050,130091
18480,2131,2046,1888,123546,124043
18481,1771,1684,1465,124662,124683
18482,1622,1569,1361,136644,137258
18483,1248,1190,1123,95371,95502
18484,2691,2380,1807,85224,85226
18485,1991,1910,1793,150166,150166
18486,3420,3185,2562,280165,280992
18487,888,822,756,27633,27855
18488,2180,2015,1679,111993,112713
18489,1960,1810,1557,160658,161170
18490,2558,2410,1984,97831,97843
18491,2933,2734,2458,170038,170740
18492,2856,2711,2275,266900,222901
18493,2563,2370,1800,117078,117478
18494,4199,3848,3318,162855,162861
18495,1222,1171,1088,53655,53798
18496,2782,2623,2278,90087,90090
18497,1590,1528,1319,133321,134593
18498,2755,2440,1891,256335,256657
18499,1568,1386,1193,172032,143181
18500,2150,2150,2133,79421,82801
18501,2858,2848,2847,151334,154923
18502,1561,1549,1522,51337,52772
18503,2504,2504,2490,158635,162267
18504,1348,1348,1333,86247,90051
18505,2723,2722,2708,124560,126590
18506,2050,2042,2006,65301,67396
18507,2938,2936,2914,199461,204010
18508,3808,3807,3800,504892,505081
18509,2838,2835,2807,176926,178173
18510,1389,1389,1382,46389,46462
18511,3061,3056,3011,149078,154955
18512,3016,3013,2990,155842,159270
18513,876,876,846,73305,57350
18689,172,169,136,6520,6721
18690,13,13,9,452,453
18691,661,577,555,27913,28397
18692,9,9,7,824,829
18763,774,659,538,55501,56367
18764,1267,1018,842,108239,108295
18765,1806,1326,1029,177721,177810
18766,1697,1409,1031,161427,161509
18767,2023,1592,1269,149482,150378
18768,1336,1118,713,123745,123808
18769,2035,1657,1289,150229,150395
18770,2080,1750,1418,123031,123032
18771,1162,971,917,125312,125699
18772,940,729,596,74236,74250
18773,1401,1168,1055,105899,105991
18774,1052,877,610,69253,69282
18775,1796,1523,983,105994,107438
18776,2001,1666,1216,185242,185380
18777,692,573,458,48785,49139
18778,633,549,425,42407,42413
18779,1599,1334,1123,98157,98246
18780,490,430,359,44867,44876
18781,1799,1165,1012,112913,114534
18782,1454,1101,860,92512,77953
18783,956,751,605,76190,76610
18784,2697,2249,1829,242450,243769
18785,1552,1299,811,69541,69708
18786,1301,1079,898,97650,97704
18787,1749,1447,1159,142761,144543
18788,486,402,345,25699,25737
18789,1065,805,648,65545,65762
18790,1762,1349,1324,148538,149717
18791,1260,1067,821,70875,71803
18792,1505,1280,1143,90797,91289
18793,1850,1664,1194,182140,182448
18794,1261,1023,866,96246,96247
18795,969,816,601,90404,91354
18796,1512,1314,1125,132720,132720
18797,2127,1726,1354,169869,170156
18798,1075,808,621,95319,95800
18799,1781,1524,1308,141297,141731
18800,1504,1259,1143,151739,123429
18801,1256,1156,848,57023,59427
18802,2060,1920,1186,71360,64072
18803,781,739,628,45794,46846
18804,970,798,633,126309,127652
18805,1065,1012,788,76305,76897
18806,695,671,553,29049,29418
18807,644,601,510,28072,24806
18808,713,650,473,51738,52897
18809,1193,1100,783,75546,76402
18810,777,704,577,54226,54317
18811,1840,1719,1238,80994,81252
18812,973,871,570,45193,43937
18813,1434,1338,991,44438,44688
18814,1185,1134,923,61744,62783
18815,969,891,619,44327,45641
18816,1076,1034,784,59776,60624
18817,793,733,578,122886,123515
18818,640,559,319,18836,19766
18819,1131,986,612,50418,51193
18820,2093,1951,1448,86361,87547
18821,704,683,547,49696,50205
18822,926,830,585,61066,63534
18823,1500,1431,952,133113,134328
18824,706,669,507,40162,41151
18825,587,545,414,41083,41230
18826,1600,1525,1137,147566,152735
18827,1504,1436,1108,109555,110242
18828,1150,1075,883,75528,75536
18829,1209,1134,952,56066,56540
18830,1107,1065,784,62092,64106
18831,589,575,396,26118,26832
18832,919,854,635,51970,52952
18833,901,842,639,49451,49946
18959,3314,3097,1706,112611,103664
18960,1908,1870,1654,95996,96009
18961,2302,2277,2022,170381,171502
18962,2275,2188,1742,113211,113304
18963,1888,1841,1838,74416,74675
18964,2420,2348,1737,112127,112375
18965,1726,1667,1587,88179,88343
18966,1556,1480,1400,96829,97224
18967,2226,2195,1863,118746,118757
18968,1480,1438,1394,112866,113387
18969,1986,1959,1876,116761,117146
18970,1707,1618,1500,88432,88568
18971,1886,1862,1778,201362,202016
18972,1663,1635,1588,129557,130392
18973,1475,1231,1289,114586,114632
18974,2031,1946,1865,131758,132843
18975,2075,2015,1374,74403,61011
18976,2903,2817,2545,137930,138099
18977,2934,2852,2529,130405,131564
18978,2824,2755,2190,109575,110956
18979,3385,3250,2671,118355,118545
18980,2492,2460,2044,129354,130094
18981,776,764,682,110264,110383
18982,2499,2444,2101,87564,87604
18983,1626,1604,1508,97090,97335
18984,2389,2312,2130,168086,148697
19240,2444,2238,1884,174171,176465
19241,1358,1279,1083,136779,137560
19242,5656,5466,4820,488801,490010
19243,1277,1163,948,59388,59398
19244,1586,1442,1180,62083,62297
19245,2877,2481,2062,193866,195546
19246,2051,1747,1670,146156,148297
19247,1442,1351,1181,52725,52746
19248,2014,1943,1749,82266,82292
19249,1858,1782,1496,60680,60729
19250,2428,2329,2131,128809,128854
19251,2131,2056,1902,124490,124870
19252,1771,1687,1447,118108,118131
19253,1622,1569,1361,135420,136004
19254,1248,1190,1122,94213,94333
19255,2691,2380,1816,84566,84573
19256,1991,1916,1790,149406,149407
19257,3420,3186,2563,276560,277377
19258,886,821,733,27858,28087
19259,2180,2014,1664,111981,112685
19260,1960,1810,1557,160094,160583
19261,2558,2412,1981,97774,97781
19262,2933,2746,2461,162705,163277
19263,2856,2710,2276,264799,220796
19264,2563,2398,1861,116768,117157
19265,4199,3856,3277,160431,160438
19266,1222,1199,1113,54424,54516
19267,2782,2616,2272,90523,90526
19268,1590,1528,1320,131937,133022
19269,2755,2436,1870,254577,254902
19270,1568,1386,1191,170535,141366
19271,2150,2149,2134,78689,82001
19272,2858,2845,2850,150316,153806
19273,1561,1545,1531,51805,53165
19274,2504,2504,2491,157729,161206
19275,1348,1348,1335,85365,89099
19276,2723,2722,2702,123772,125746
19277,2050,2046,2020,65428,67450
19278,2938,2936,2914,198435,202897
19279,3808,3808,3805,502721,502916
19280,2838,2836,2807,176640,177666
19281,1389,1389,1381,45967,46043
19282,3061,3059,3018,148143,153888
19283,3016,3015,3001,154787,158089
19284,876,874,848,72921,56981
19460,172,168,133,6796,6976
19461,13,13,9,481,481
19462,661,551,555,28528,28913
19463,9,9,7,828,830
19534,774,660,537,55006,55839
19535,1267,1024,844,108325,108379
19536,1806,1324,1025,177035,177049
19537,1697,1408,1031,161606,161672
19538,2023,1593,1258,148916,149748
19539,1336,1118,718,123520,123553
19540,2035,1657,1287,149892,150018
19541,2080,1761,1418,121195,121195
19542,1162,971,917,124184,124553
19543,940,727,591,73602,73615
19544,1401,1165,1058,105764,105812
19545,1052,877,610,69032,69062
19546,1796,1506,958,106019,107376
19547,2001,1662,1217,184052,184179
19548,692,573,455,49219,49545
19549,633,550,425,42396,42403
19550,1599,1334,1123,98120,98205
19551,490,429,359,44833,44841
19552,1799,1162,1002,112992,114531
19553,1454,1118,858,92303,77802
19554,956,752,605,76286,76639
19555,2697,2247,1827,242595,243794
19556,1552,1297,811,70060,70230
19557,1301,1077,897,97360,97395
19558,1749,1446,1157,142425,144127
19559,486,417,311,25363,25398
19560,1065,804,647,65780,65989
19561,1762,1347,1325,147653,148790
19562,1260,1069,821,70828,71729
19563,1505,1280,1142,91580,92034
19564,1850,1663,1191,183332,183503
19565,1261,1022,865,97852,97853
19566,969,824,602,90277,91188
19567,1512,1312,1125,132162,132164
19568,2127,1725,1352,170868,171127
19569,1075,808,620,95585,96050
19570,1781,1521,1308,141446,141839
19571,1504,1254,1142,151024,122865
19572,1256,1114,694,57350,59175
19573,2060,1893,1101,71786,64412
19574,788,728,628,45588,46420
19575,970,789,613,121075,121921
19576,1065,1005,742,75959,76456
19577,695,669,549,28795,29069
19578,644,601,497,27757,24289
19579,713,647,437,51955,52858
19580,1193,1100,781,75461,76156
19581,777,708,576,53548,53613
19582,1840,1717,1229,80363,80569
19583,973,868,565,47957,45859
19584,1437,1330,979,44081,44280
19585,1160,1112,902,60898,61671
19586,969,883,613,44375,45404
19587,1076,1023,737,60073,60684
19588,793,737,572,121917,122028
19589,640,547,319,18730,19348
19590,1131,984,612,50461,51081
19591,2093,1949,1442,86461,87304
19592,704,681,518,48565,48979
19593,926,826,548,61343,62891
19594,1500,1426,937,132019,132980
19595,706,652,491,39905,40558
19596,587,545,414,40725,40786
19597,1600,1525,1130,147699,151189
19598,1504,1434,1099,110572,111166
19599,1150,1076,883,75280,75286
19600,1209,1133,942,55735,56149
19601,1132,1079,803,63519,65171
19602,589,575,396,25886,26362
19603,919,852,627,51352,52191
19604,901,843,637,49457,49825
19730,3315,3097,1702,112404,103625
19731,1908,1870,1654,95267,95277
19732,2302,2278,2022,169205,170266
19733,2275,2186,1742,112677,112780
19734,1888,1842,1838,73880,74130
19735,2420,2348,1739,111783,112011
19736,1726,1667,1587,87713,87873
19737,1556,1480,1400,94186,94514
19738,2226,2195,1863,117181,117200
19739,1480,1438,1394,111643,112121
19740,1986,1959,1876,115871,116185
19741,1707,1618,1500,87907,88029
19742,1886,1862,1780,204039,204657
19743,1663,1635,1588,128841,129630
19744,1475,1231,1289,113517,113554
19745,2031,1945,1865,130599,131621
19746,2075,2020,1375,74271,60751
19747,2903,2817,2547,135995,136171
19748,2934,2852,2527,129777,130884
19749,2824,2757,2191,109125,110383
19750,3385,3250,2668,118226,118430
19751,2492,2460,2048,129169,129875
19752,776,764,682,110128,110248
19753,2499,2444,2101,87430,87480
19754,1626,1604,1508,95662,95896
19755,2389,2312,2130,166050,147106
20011,2444,2238,1884,177262,179527
20012,1358,1279,1083,134122,134892
20013,5656,5470,4816,494834,496120
20014,1277,1163,948,60456,60468
20015,1586,1441,1178,59994,60201
20016,2877,2486,2064,191989,193634
20017,2051,1762,1680,149001,151182
20018,1442,1351,1185,52450,52460
20019,2014,1977,1779,82090,82132
20020,1858,1760,1454,61617,61692
20021,2428,2329,2131,129940,130022
20022,2131,2061,1908,128320,128576
20023,1771,1687,1440,119198,119253
20024,1622,1571,1360,133947,134534
20025,1248,1191,1123,93021,93131
20026,2691,2380,1816,85560,85594
20027,1991,1918,1794,148410,148412
20028,3420,3188,2563,275871,276644
20029,886,817,730,31412,31583
20030,2180,2015,1653,111260,111942
20031,1960,1810,1555,157465,157953
20032,2558,2415,1981,98088,98101
20033,2933,2750,2457,159374,159895
20034,2856,2714,2270,261200,217439
20035,2563,2426,1963,115919,116305
20036,4199,3859,3276,159939,159940
20037,1222,1209,1130,54893,54974
20038,2782,2617,2272,90497,90500
20039,1590,1529,1320,135458,136537
20040,2755,2439,1866,252712,253070
20041,1568,1388,1190,168634,139304
20042,2150,2149,2134,77596,80834
20043,2858,2845,2849,148525,151919
20044,1561,1548,1532,51158,52428
20045,2504,2504,2492,156408,159782
20046,1348,1348,1333,84781,88418
20047,2723,2722,2702,122957,124802
20048,2050,2047,2020,65149,67119
20049,2938,2936,2912,197389,201776
20050,3808,3807,3806,499458,499655
20051,2838,2835,2807,175683,176414
20052,1389,1389,1379,45451,45522
20053,3061,3057,3014,147327,152978
20054,3016,3015,3002,153080,156306
20055,876,875,862,72411,56447
20231,172,167,133,6870,7033
20232,13,13,8,466,466
20233,661,549,566,28893,29278
20234,9,9,7,789,789
20305,774,660,537,55171,55878
20306,1267,1023,844,107902,107955
20307,1806,1322,1025,178008,178019
20308,1697,1407,1031,164449,164506
20309,2023,1593,1258,149413,150154
20310,1336,1116,718,124066,124094
20311,2035,1656,1286,150422,150545
20312,2080,1761,1417,119997,119999
20313,1162,971,917,124230,124585
20314,940,724,591,73208,73218
20315,1401,1164,1058,106298,106335
20316,1052,876,608,70145,70174
20317,1796,1505,958,107217,108328
20318,2001,1659,1217,183800,183828
20319,692,571,453,50508,50813
20320,633,548,425,43331,43345
20321,1599,1332,1121,98745,98822
20322,490,428,359,44654,44662
20323,1799,1162,1001,113966,115429
20324,1454,1117,858,92954,78394
20325,956,752,605,76604,76927
20326,2697,2238,1826,242800,243840
20327,1552,1297,810,70209,70360
20328,1301,1076,894,97216,97220
20329,1749,1444,1156,143115,144648
20330,486,417,311,25517,25551
20331,1065,804,647,66311,66498
20332,1762,1345,1325,148122,149177
20333,1260,1067,821,70900,71711
20334,1505,1280,1142,93046,93440
20335,1850,1655,1190,184338,184488
20336,1261,1021,865,100197,100200
20337,969,824,602,90410,91277
20338,1512,1311,1123,132080,132085
20339,2127,1725,1352,172104,172349
20340,1075,808,619,96103,96537
20341,1781,1518,1307,140929,141292
20342,1504,1254,1142,151628,123311
20343,1256,1115,694,57017,58775
20344,2060,1892,1095,72291,64179
20345,788,728,628,44980,45737
20346,970,789,613,118564,119316
20347,1065,1005,742,75348,75817
20348,695,669,549,28574,28833
20349,644,601,497,27604,24123
20350,713,648,437,51950,52846
20351,1193,1100,781,74656,75320
20352,777,713,571,53174,53230
20353,1840,1717,1229,79858,80058
20354,973,870,562,48321,45742
20355,1437,1330,979,43708,43893
20356,1163,1115,904,60545,61264
20357,969,883,605,44359,45294
20358,1076,1023,737,60097,60674
20359,793,737,572,120314,120395
20360,640,547,319,18718,19236
20361,1131,984,612,50072,50662
20362,2093,1954,1439,86034,86814
20363,704,681,518,48473,48878
20364,926,826,548,60794,62274
20365,1500,1425,937,131012,131873
20366,706,653,491,39505,40123
20367,587,545,413,40180,40236
20368,1600,1525,1129,144885,148024
20369,1504,1434,1099,110742,111289
20370,1150,1076,883,74975,74976
20371,1209,1133,942,55218,55595
20372,1129,1076,801,63115,64705
20373,589,574,396,25474,25932
20374,919,853,627,50789,51582
20375,901,843,637,49244,49595
20501,3314,3098,1701,111935,103158
20502,1908,1870,1654,94004,94020
20503,2302,2278,2022,167583,168571
20504,2275,2186,1743,111044,111138
20505,1888,1842,1837,70966,71207
20506,2420,2348,1739,110782,111014
20507,1726,1667,1587,87001,87160
20508,1556,1480,1400,92646,92946
20509,2226,2195,1863,115264,115299
20510,1480,1438,1394,110144,110619
20511,1986,1959,1876,114303,114608
20512,1707,1619,1500,86410,86525
20513,1886,1862,1780,203079,203667
20514,1663,1635,1588,127741,128542
20515,1475,1231,1289,111685,111732
20516,2031,1946,1865,128706,129675
20517,2075,2026,1375,74176,60558
20518,2903,2817,2547,133428,133598
20519,2934,2851,2509,128133,129150
20520,2824,2758,2191,107521,108633
20521,3385,3250,2668,115766,115969
20522,2492,2460,2048,127987,128664
20523,776,764,682,108720,108839
20524,2499,2445,2101,86024,86056
20525,1626,1604,1508,93951,94165
20526,2389,2312,2130,163824,145442
20782,2444,2238,1884,177316,179480
20783,1358,1285,1090,135290,136021
20784,5656,5466,4802,515132,516540
20785,1277,1163,949,59411,59418
20786,1586,1439,1174,57497,57657
20787,2877,2481,2045,197797,198736
20788,2051,1778,1675,154643,156834
20789,1444,1349,1185,52301,52312
20790,2014,1965,1794,79553,79620
20791,1858,1771,1507,60594,60594
20792,2428,2328,2126,129804,129857
20793,2131,2067,1909,128617,128821
20794,1771,1686,1440,123290,123315
20795,1622,1571,1360,133591,134081
20796,1248,1191,1152,94284,94376
20797,2691,2380,1815,84669,84680
20798,1991,1941,1829,148974,148975
20799,3420,3189,2563,272083,272879
20800,888,817,724,31367,31368
20801,2180,2015,1651,111795,112370
20802,1960,1805,1553,155638,156051
20803,2558,2414,1980,97583,97586
20804,2933,2744,2443,154786,155163
20805,2856,2722,2289,259039,215091
20806,2563,2435,2088,116042,116363
20807,4199,3899,3316,158424,158425
20808,1222,1210,1127,55171,55195
20809,2782,2617,2272,90363,90368
20810,1590,1528,1312,134445,135411
20811,2755,2428,1814,250969,251314
20812,1568,1392,1191,167709,137965
20813,2150,2149,2134,76512,79685
20814,2858,2845,2846,146908,150196
20815,1561,1546,1521,50906,52107
20816,2504,2500,2485,154940,158210
20817,1348,1348,1334,84456,88000
20818,2723,2722,2709,121692,123477
20819,2050,2044,2011,64626,66495
20820,2938,2936,2912,196646,200933
20821,3808,3805,3790,496563,496756
20822,2838,2820,2806,175875,176228
20823,1389,1388,1378,44930,44997
20824,3061,3049,2999,146084,151639
20825,3016,3014,3001,151013,154168
20826,876,876,870,71728,55590
21002,172,165,133,6787,6948
21003,13,13,8,481,481
21004,661,548,570,28721,29096
21005,9,9,7,803,804
21076,774,660,537,54466,55156
21077,1267,1023,844,106847,106896
21078,1806,1321,1024,175892,175904
21079,1697,1402,1030,164630,164686
21080,2023,1579,1255,148052,148749
21081,1336,1114,718,122954,122983
21082,2035,1655,1283,149633,149753
21083,2080,1757,1417,119825,119833
21084,1162,968,917,123386,123743
21085,940,723,590,72664,72672
21086,1401,1161,1056,105795,105831
21087,1052,874,608,69915,69944
21088,1796,1503,955,140833,144658
21089,2001,1657,1214,181302,181326
21090,692,571,452,50063,50366
21091,633,548,425,42906,42914
21092,1599,1329,1121,98772,98838
21093,490,427,357,44535,44542
21094,1799,1159,1001,112494,113936
21095,1454,1117,856,91973,77545
21096,956,752,605,75716,76037
21097,2697,2229,1825,240494,241507
21098,1552,1295,810,69654,69817
21099,1301,1073,892,96288,96289
21100,1749,1440,1154,141223,142726
21101,486,417,311,25341,25375
21102,1065,804,647,65076,65251
21103,1762,1342,1325,146572,147598
21104,1260,1067,821,70003,70803
21105,1505,1277,1140,92240,92618
21106,1850,1647,1187,183944,184087
21107,1261,1021,865,100258,100261
21108,969,824,602,89622,90474
21109,1512,1304,1123,130611,130620
21110,2127,1722,1351,170780,171018
21111,1075,807,619,95448,95870
21112,1781,1516,1307,139776,140129
21113,1504,1254,1142,149637,121448
21114,1278,1114,691,56202,57942
21115,2061,1892,1093,71964,63454
21116,788,728,628,44107,44848
21117,970,788,611,115330,116038
21118,1065,1004,742,74208,74659
21119,695,669,549,28216,28470
21120,644,601,497,27245,23682
21121,713,648,437,51507,52390
21122,1193,1100,781,73308,73972
21123,777,713,571,52306,52360
21124,1840,1717,1223,78776,78963
21125,1006,872,562,47751,44939
21126,1437,1330,979,43089,43273
21127,1163,1115,904,59571,60277
21128,974,882,605,43735,44648
21129,1076,1023,737,59522,60086
21130,793,733,563,117633,117669
21131,640,547,319,18459,18961
21132,1132,984,612,49164,49740
21133,2093,1962,1430,85019,85785
21134,704,681,518,48015,48417
21135,931,826,548,59788,61256
21136,1500,1428,935,129332,130170
21137,706,653,491,38991,39596
21138,587,545,413,39425,39486
21139,1602,1526,1129,141831,144870
21140,1504,1434,1099,109523,110068
21141,1150,1076,883,73923,73924
21142,1209,1133,942,54654,55004
21143,1129,1076,801,62320,63898
21144,589,574,396,24947,25399
21145,919,853,627,49886,50650
21146,901,843,637,48643,48982
21272,3314,3101,1707,109509,100967
21273,1908,1870,1653,88689,88717
21274,2302,2278,2022,154879,155513
21275,2275,2186,1746,106165,106254
21276,1888,1842,1837,67141,67333
21277,2420,2348,1739,103235,103417
21278,1726,1667,1586,78547,78673
21279,1556,1481,1400,90416,90704
21280,2226,2195,1863,112764,112798
21281,1480,1439,1393,107367,107823
21282,1986,1959,1876,107978,108249
21283,1707,1621,1500,84109,84221
21284,1886,1864,1777,198158,198720
21285,1663,1635,1588,121805,122294
21286,1475,1231,1289,109784,109819
21287,2031,1946,1869,124005,124825
21288,2075,2027,1375,70665,58302
21289,2903,2817,2547,124606,124789
21290,2934,2851,2509,125205,125938
21291,2824,2759,2188,102534,103400
21292,3385,3250,2668,108889,109082
21293,2492,2460,2052,116951,117393
21294,776,764,682,103549,103728
21295,2499,2445,2101,77971,78002
21296,1626,1605,1507,90885,91075
21297,2389,2312,2130,148345,134939
21553,2444,2239,1884,169361,170822
21554,1358,1294,1109,127025,127482
21555,5656,5466,4800,495814,496741
21556,1277,1161,947,57059,57073
21557,1586,1431,1167,51675,51777
21558,2877,2476,2037,192385,192925
21559,2051,1784,1683,154928,156758
21560,1444,1348,1183,47396,47407
21561,2014,1967,1797,73471,73524
21562,1858,1777,1518,56441,56453
21563,2428,2341,2126,120596,120686
21564,2131,2067,1922,114069,114217
21565,1771,1685,1439,119172,119199
21566,1622,1573,1360,125874,126339
21567,1248,1191,1153,90895,90947
21568,2691,2375,1815,73976,73988
21569,1991,1942,1830,148574,148579
21570,3420,3189,2563,271153,271845
21571,888,813,723,30378,30385
21572,2180,2020,1663,107248,107632
21573,1960,1814,1521,150279,150579
21574,2558,2417,1975,89043,89056
21575,2933,2757,2447,143714,143949
21576,2856,2744,2309,250037,206661
21577,2563,2473,2095,114132,114387
21578,4199,3930,3356,151984,151984
21579,1222,1210,1129,48230,48245
21580,2782,2646,2314,86211,86219
21581,1591,1543,1318,132681,133741
21582,2755,2429,1814,245746,246003
21583,1568,1403,1192,164816,135956
21584,2150,2147,2127,77018,79949
21585,2858,2848,2847,147077,150038
21586,1561,1547,1519,51129,52047
21587,2504,2503,2491,155555,158479
21588,1348,1348,1344,85267,88631
21589,2723,2718,2709,121939,123645
21590,2050,2048,2006,65647,67206
21591,2938,2933,2907,199236,203340
21592,3808,3804,3786,497010,497230
21593,2838,2826,2796,178496,178772
21594,1389,1387,1369,44769,44844
21595,3061,3055,2995,147566,152799
21596,3016,3015,3000,154694,157443
21597,876,876,873,71628,55483
21773,172,165,132,6297,6467
21774,13,13,8,445,446
21775,661,547,572,27323,27626
21776,9,9,7,778,779
21847,774,646,537,53354,54007
21848,1267,1013,843,108308,108347
21849,1806,1320,1021,177651,177671
21850,1697,1398,1030,167212,167259
21851,2023,1572,1252,151682,152316
21852,1336,1111,718,123428,123463
21853,2035,1646,1282,150262,150367
21854,2080,1742,1410,120410,120411
21855,1162,965,916,123586,123926
21856,941,720,589,72532,72540
21857,1401,1145,1053,106209,106244
21858,1052,864,605,70073,70103
21859,1796,1502,955,135245,138330
21860,2001,1653,1207,181472,181496
21861,692,567,451,50204,50488
21862,633,545,425,43023,43030
21863,1599,1322,1120,99432,99478
21864,491,426,355,44537,44543
21865,1799,1154,999,113395,114707
21866,1454,1115,856,91450,77218
21867,959,748,605,75777,76086
21868,2697,2218,1818,240719,241708
21869,1552,1297,810,69585,69739
21870,1301,1072,888,96350,96354
21871,1749,1434,1153,141520,142980
21872,492,417,311,24970,24996
21873,1065,799,645,63149,63309
21874,1762,1338,1324,149420,150398
21875,1260,1063,821,68162,68788
21876,1505,1277,1137,92736,93091
21877,1850,1636,1185,183451,183588
21878,1261,1019,863,100378,100385
21879,969,824,595,89530,90374
21880,1512,1297,1119,134489,134497
21881,2143,1719,1348,171546,171779
21882,1075,807,619,95621,96037
21883,1788,1508,1307,138185,138521
21884,1504,1245,1141,149342,121424
21885,1278,1109,691,55516,57217
21886,2061,1893,1092,72762,62419
21887,788,723,628,42739,43439
21888,970,785,611,115602,116195
21889,1065,1004,742,73854,74292
21890,695,669,549,28222,28476
21891,644,601,497,27919,23473
21892,713,647,437,50600,51436
21893,1193,1099,781,72588,73228
21894,777,715,570,51957,52003
21895,1840,1721,1224,77568,77745
21896,1006,868,559,47749,44305
21897,1437,1330,979,42844,43004
21898,1163,1113,866,58876,59536
21899,974,881,599,43562,44457
21900,1076,1023,737,59209,59766
21901,793,733,563,118610,118624
21902,640,546,318,18155,18645
21903,1132,983,612,48658,49220
21904,2093,1966,1422,84349,85050
21905,704,681,518,47997,48399
21906,931,826,548,59293,60721
21907,1501,1429,934,129385,130177
21908,706,653,491,38612,39202
21909,586,530,407,38808,38851
21910,1602,1526,1129,137841,140668
21911,1504,1435,1099,109340,109853
21912,1150,1075,883,74004,74006
21913,1209,1133,934,54254,54585
21914,1129,1071,799,61794,63342
21915,589,569,389,24837,25280
21916,919,853,627,49631,50370
21917,901,842,637,48442,48762
22043,3314,3126,1699,104144,96350
22044,1908,1871,1657,85883,85916
22045,2302,2278,2022,149642,150139
22046,2275,2183,1741,100696,100789
22047,1888,1842,1837,64099,64225
22048,2420,2348,1739,93794,93909
22049,1726,1667,1586,79901,80021
22050,1556,1482,1399,81916,82093
22051,2226,2195,1863,107844,107906
22052,1480,1441,1404,104267,104550
22053,1986,1959,1876,104283,104479
22054,1707,1621,1498,80209,80286
22055,1886,1865,1785,183596,184051
22056,1663,1635,1588,114081,114468
22057,1475,1230,1288,106286,106312
22058,2031,1950,1879,116635,117229
22059,2075,2027,1375,60082,52581
22060,2903,2817,2547,114230,114419
22061,2934,2852,2508,115955,116474
22062,2824,2760,2189,96543,97136
22063,3385,3252,2666,101297,101452
22064,2492,2460,2049,111997,112347
22065,776,764,682,100480,100655
22066,2499,2445,2101,71243,71276
22067,1626,1607,1507,88604,88745
22068,2389,2317,2119,145787,133003
22324,2444,2246,1884,155529,156610
22325,1358,1302,1111,122497,122771
22326,5656,5465,4802,480355,480449
22327,1277,1161,947,56342,56347
22328,1586,1430,1155,50537,50625
22329,2877,2477,2034,196921,197207
22330,2051,1788,1683,141257,142515
22331,1444,1348,1184,44418,44428
22332,2014,1967,1809,71687,71748
22333,1858,1786,1525,56509,56519
22334,2428,2347,2130,122816,122881
22335,2131,2068,1924,111724,111761
22336,1771,1683,1439,115218,115235
22337,1622,1573,1360,117845,118103
22338,1248,1194,1153,88632,88677
22339,2691,2376,1815,73113,73138
22340,1991,1944,1832,143681,143683
